pubyear,earlyyear,n,r,effectid,studyid,attitude,paradigm,fake,figure,obvious,subtle,transformed,es,var
39,42,133,0.39,7914,791,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.4118,0.007692308
39,42,123,-0.11,7915,791,0,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,-0.1104,0.008333333
39,42,123,0.11,7916,791,0,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.1104,0.008333333
39,42,123,0.42,7917,791,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.4477,0.008333333
39,42,123,0.21,7918,791,1,p2,80.07317073,79.04878049,58.80487805,27.35772358,0,0.2132,0.008333333
64,67,250,0.25,8011,801,0,p13,42.36585366,32.46341463,33.65853659,63.83739837,1,0.2505,0.006509703
62,62,1929,0.26,8111,811,0,p3,69.15909091,67.56818182,50.45454545,37.60606061,0,0.2661,0.000519211
62,62,1929,0.27,8112,811,0,p3,69.15909091,67.56818182,50.45454545,37.60606061,0,0.2769,0.000519211
61,64,41,0.11,8221,822,0,p17,57,44.93181818,44.68181818,51.12878788,0,0.1104,0.026315789
61,64,41,0.19,8222,822,1,p17,57,44.93181818,44.68181818,51.12878788,0,0.1923,0.026315789
64,67,142,0.27,8311,831,1,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.2769,0.007194245
64,67,147,0.33,8321,832,1,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.3428,0.006944444
64,67,147,0.17,8322,832,1,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.1717,0.006944444
56,59,64,0.28,8511,851,0,p16,59.88095238,49.76190476,43.19047619,49.05555556,0,0.2877,0.016393443
56,59,64,0.44,8512,851,0,p16,59.88095238,49.76190476,43.19047619,49.05555556,0,0.4722,0.016393443
53,49,2929,0.31,8611,861,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.3205,0.000341763
19,20,470,0.21,8711,871,2,p38,73.23913043,69.15217391,58.7826087,32.94202899,1,0.2118,0.009384744
19,20,481,0.14,8712,871,2,p38,73.23913043,69.15217391,58.7826087,32.94202899,1,0.1448,0.008088861
61,64,101,-0.05,8811,881,1,p13,42.36585366,32.46341463,33.65853659,63.83739837,0,-0.0500,0.010204082
22,25,40,0.32,8911,891,0,p17,57,44.93181818,44.68181818,51.12878788,0,0.3316,0.027027027
22,25,40,0.34,8912,891,0,p17,57,44.93181818,44.68181818,51.12878788,0,0.3541,0.027027027
